baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
ACTA2	607.034856861583	0.0595545734375115	0.0937573762017683	0.635198806218174	0.525298761746442	0.560233055926156	ACTA2	UNCHANGED
ACTB	148518.671396423	0.0799585197527295	0.0618901296020474	1.29194300071532	0.196376884692909	0.222723861422379	ACTB	UNCHANGED
ACTG1	75289.6903254995	0.0934980480728517	0.0443328593399536	2.10900107651278	0.0349444887119567	0.043210074770823	ACTG1	UNCHANGED
ACTL6A	1034.89402984191	0.601663075235125	0.0617239607239659	9.74764205307249	1.88802539532483e-22	6.00085017080071e-22	ACTL6A	UNCHANGED
ACTN1	8237.02535920216	-0.351767210051124	0.077293744461797	-4.55104371641599	5.33804544640475e-06	8.7064591075447e-06	ACTN1	UNCHANGED
ACTN4	14478.9647982179	-0.0436719170646045	0.0361725525994666	-1.20732195894985	0.227308177160043	0.255888889432257	ACTN4	UNCHANGED
ACTR10	1095.62073210659	-0.212324995330138	0.0233249875275995	-9.10289855799076	8.79525618959554e-20	2.5727539900091e-19	ACTR10	UNCHANGED
ACTR1A	3329.51174697585	-0.345045097434256	0.0297371578759041	-11.6031632503066	3.97122897004643e-31	1.63728740712122e-30	ACTR1A	UNCHANGED
ACTR1B	2394.60917119236	-0.666654384553434	0.0419413629751088	-15.8949146442636	6.87220008474536e-57	5.08076894401004e-56	ACTR1B	UNCHANGED
ACTR2	20338.0731002847	-0.561358816845226	0.0461833164867509	-12.1550130988594	5.39531421164918e-34	2.39755099747491e-33	ACTR2	UNCHANGED
ACTR3	11101.0381895255	-0.450444280599916	0.0428506983276401	-10.5119472535962	7.61056603355264e-26	2.68673430223022e-25	ACTR3	UNCHANGED
ACTR3B	183.469178511414	0.104411088709533	0.0570346905744225	1.83065933483571	0.0671514062995138	0.0805506639199425	ACTR3B	UNCHANGED
ACTR3C	57.1235721698498	-0.780072002813984	0.078262725556472	-9.96735032248664	2.11803908461632e-23	6.92777930946039e-23	ACTR3C	UNCHANGED
ACTR5	464.526266701541	-0.117236582043707	0.0463808971948441	-2.52769112143737	0.0114815313583268	0.0149374969532991	ACTR5	UNCHANGED
ACTR6	463.835211270919	0.425358281137126	0.0408919559346052	10.402003802835	2.42773408777126e-25	8.4286661022431e-25	ACTR6	UNCHANGED
ACTR8	896.90415479482	0.0388716524125985	0.0389002940887309	0.999263715691531	0.317666957533905	0.350623296751745	ACTR8	UNCHANGED
ACVR1	628.037396217732	-0.0689031856484559	0.0695901675960953	-0.990128175123436	0.322111473469782	0.355169425499289	ACVR1	UNCHANGED
ACVR1B	1179.95996459645	0.0627784424165015	0.0837013100256585	0.750029388993516	0.453237004696728	0.488635643719013	ACVR1B	UNCHANGED
ACVR2A	135.694094648241	0.497539196742048	0.129814984564276	3.8326792427857	0.000126755180247635	0.000190447126012738	ACVR2A	UNCHANGED
ACVR2B	276.492420236496	0.348925760427572	0.124303914340541	2.80703759232923	0.00499994064523199	0.00669585567189671	ACVR2B	UNCHANGED
ACY1	112.68183553063	4.03374688445024	0.062785542916162	64.2464283511338	0	0	ACY1	UP
ACY3	413.732849542943	-0.147202193995265	0.177001459367973	-0.831643956614178	0.405609942985752	0.44081885870636	ACY3	UNCHANGED
ACYP1	244.570865878136	-0.368947750665051	0.0653600596786123	-5.64485027215759	1.65325064732898e-08	3.0744710622651e-08	ACYP1	UNCHANGED
ACYP2	212.12870675325	-0.89024938101479	0.0443631003440532	-20.0673391649943	1.42428473445275e-89	1.7730393868958e-88	ACYP2	UNCHANGED
ADA	2399.9448294092	-0.0620193703860165	0.0957936359637293	-0.647426833338899	0.517355733966392	0.552356009291512	ADA	UNCHANGED
ADAL	252.03070013829	0.215363020202114	0.0575481733498694	3.74230853328385	0.000182337450746437	0.000271045515320324	ADAL	UNCHANGED
