baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
ABCC4	1355.07543266408	-0.0804215126900941	0.087162211022484	-0.922664899693159	0.356181863040153	0.677274764883701	ABCC4	UNCHANGED
ABCC5	1870.14720542719	-0.00403506488107851	0.0556265936316941	-0.0725384140505679	0.942173435981534	0.976843946087994	ABCC5	UNCHANGED
ABCC6	167.076717934469	-0.0701392533488709	0.115364785940563	-0.607978013195527	0.543202056448213	0.802223513755114	ABCC6	UNCHANGED
ABCD1	1003.24158450108	0.0692447938646219	0.059885833672061	1.15628003517178	0.247566631889486	0.571474182213299	ABCD1	UNCHANGED
ABCD2	63.6881172183922	-0.105090468001013	0.123136178924106	-0.8534491562044	0.393410271737003	0.703301477588856	ABCD2	UNCHANGED
ABCD3	1135.34381145296	0.163905101570275	0.0466298094325059	3.5150283384177	0.000439707064703827	0.0141029574723389	ABCD3	UNCHANGED
ABCD4	1389.7488989259	-0.0292595627696359	0.0344246426117657	-0.849959812208351	0.395347429824371	0.703879791385269	ABCD4	UNCHANGED
ABCE1	2981.73599169254	0.0237051526445666	0.0391978648943294	0.604756220994985	0.545340986273419	0.803138175272903	ABCE1	UNCHANGED
ABCF1	2945.54069787835	0.0095166951392188	0.0287443271637429	0.331080810658975	0.740583445902413	0.896616298858801	ABCF1	UNCHANGED
ABCF2	1416.93917385405	0.0091074875225893	0.0418613123232821	0.217563354255475	0.827769339576215	0.934697129489816	ABCF2	UNCHANGED
ABCF3	1540.66476085771	-0.00339009260157979	0.0406553849859004	-0.0833860656529387	0.933544567921225	0.974192898406633	ABCF3	UNCHANGED
ABCG1	599.670455460135	0.281512068225299	0.0958062856702758	2.93834654225239	0.00329967966155906	0.0535750197112345	ABCG1	UNCHANGED
ABHD10	1013.57285980408	-0.0399356863141448	0.0414966036864005	-0.962384454784496	0.335856519440285	0.659580922567315	ABHD10	UNCHANGED
ABHD11	210.454445216384	-0.0749106355473218	0.0597732947866289	-1.25324588204027	0.210116236819072	0.527187959577081	ABHD11	UNCHANGED
ABHD12	987.40044979036	-0.00092728442471485	0.0392654669117434	-0.0236157748180888	0.981159089175323	0.992873831598795	ABHD12	UNCHANGED
ABHD13	1491.12465941924	0.0599719796220487	0.0405072355876964	1.48052511488255	0.138733163386492	0.435064095466993	ABHD13	UNCHANGED
ABHD14A	280.43747443843	-0.0255472077003807	0.0564437372997379	-0.452613680853826	0.650826945742148	0.855298607293097	ABHD14A	UNCHANGED
ABHD14B	2009.34280523209	0.0302085192232012	0.0413130106063035	0.731210792432348	0.464650409056226	0.749026281458609	ABHD14B	UNCHANGED
ABHD15	1059.68052826471	-0.0139851459735947	0.0672478222369816	-0.20796429547281	0.835256845911228	0.93748562563991	ABHD15	UNCHANGED
ABHD2	9718.75776319023	-0.106928165492701	0.0450703609295425	-2.37247191474369	0.0176695064070471	0.143367535244679	ABHD2	UNCHANGED
ABHD3	1049.58257480889	0.0609448996422006	0.0501783832779459	1.21456483172479	0.224532108895734	0.545397174985276	ABHD3	UNCHANGED
